Symbol,Security,sector,etf
MRK,Merck & Co.,Health Care,XLV
MET,MetLife Inc.,Financials,XLF
MTD,Mettler Toledo,Health Care,XLV
MGM,MGM Resorts International,Consumer Discretionary,XLY
KORS,Michael Kors Holdings,Consumer Discretionary,XLY
MCHP,Microchip Technology,Semiconductors,SMH
MU,Micron Technology,Semiconductors,SMH
MSFT,Microsoft Corp.,Software/Internet,IGV
MAA,Mid-America Apartments,Real Estate,IYR
MHK,Mohawk Industries,Consumer Discretionary,XLY
TAP,Molson Coors Brewing Company,Consumer Staples,XLP
MDLZ,Mondelez International,Consumer Staples,XLP
MON,Monsanto Co.,Materials,XLB
MNST,Monster Beverage,Consumer Staples,XLP
MCO,Moody's Corp,Financials,XLF
MS,Morgan Stanley,Financials,XLF
MOS,The Mosaic Company,Materials,XLB
MSI,Motorola Solutions Inc.,Information Technology,XLK
MYL,Mylan N.V.,Health Care,XLV
NDAQ,"Nasdaq, Inc.",Financials,XLF
NOV,National Oilwell Varco Inc.,Energy,XLE
NAVI,Navient,Financials,XLF
NTAP,NetApp,Information Technology,XLK
NFLX,Netflix Inc.,Information Technology,XLK
NWL,Newell Brands,Consumer Discretionary,XLY
NFX,Newfield Exploration Co,Energy,XLE
NEM,Newmont Mining Corporation,Materials,XLB
NWSA,News Corp. Class A,Consumer Discretionary,XLY
NWS,News Corp. Class B,Consumer Discretionary,XLY
NEE,NextEra Energy,Utilities,XLU
NLSN,Nielsen Holdings,Industrials,XLI
NKE,Nike,Consumer Discretionary,XLY
NI,NiSource Inc.,Utilities,XLU
NBL,Noble Energy Inc,Energy,XLE
JWN,Nordstrom,Retail,XRT
NSC,Norfolk Southern Corp.,Transportation,IYT
NTRS,Northern Trust Corp.,Financials,XLF
NOC,Northrop Grumman Corp.,Industrials,XLI
NCLH,Norwegian Cruise Line,Consumer Discretionary,XLY
NRG,NRG Energy,Utilities,XLU
NUE,Nucor Corp.,Materials,XLB
NVDA,Nvidia Corporation,Semiconductors,SMH
ORLY,O'Reilly Automotive,Retail,XRT
OXY,Occidental Petroleum,Energy,XLE
OMC,Omnicom Group,Consumer Discretionary,XLY
OKE,ONEOK,Energy,XLE
ORCL,Oracle Corp.,Software/Internet,IGV
PCAR,PACCAR Inc.,Industrials,XLI
PKG,Packaging Corporation of America,Materials,XLB
PH,Parker-Hannifin,Industrials,XLI
PDCO,Patterson Companies,Health Care,XLV
PAYX,Paychex Inc.,Information Technology,XLK
PYPL,PayPal,Information Technology,XLK
PNR,Pentair Ltd.,Industrials,XLI
PBCT,People's United Financial,Financials,XLF
PEP,PepsiCo Inc.,Consumer Staples,XLP
PKI,PerkinElmer,Health Care,XLV
PRGO,Perrigo,Health Care,XLV
PFE,Pfizer Inc.,Health Care,XLV
PCG,PG&E Corp.,Utilities,XLU
PM,Philip Morris International,Consumer Staples,XLP
PSX,Phillips 66,Energy,XLE
PNW,Pinnacle West Capital,Utilities,XLU
PXD,Pioneer Natural Resources,Energy,XLE
PNC,PNC Financial Services,Financials,XLF
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,XLY
PPG,PPG Industries,Materials,XLB
PPL,PPL Corp.,Utilities,XLU
PX,Praxair Inc.,Materials,XLB
PCLN,Priceline.com Inc,Consumer Discretionary,XLY
PFG,Principal Financial Group,Financials,XLF
PG,Procter & Gamble,Consumer Staples,XLP
PGR,Progressive Corp.,Financials,XLF
PLD,Prologis,Real Estate,IYR
PRU,Prudential Financial,Financials,XLF
PEG,Public Serv. Enterprise Inc.,Utilities,XLU
PSA,Public Storage,Real Estate,IYR
PHM,Pulte Homes Inc.,Consumer Discretionary,XLY
PVH,PVH Corp.,Consumer Discretionary,XLY
QRVO,Qorvo,Semiconductors,SMH
PWR,Quanta Services Inc.,Industrials,XLI
QCOM,QUALCOMM Inc.,Semiconductors,SMH
DGX,Quest Diagnostics,Health Care,XLV
RRC,Range Resources Corp.,Energy,XLE
RJF,Raymond James Financial Inc.,Financials,XLF
RTN,Raytheon Co.,Industrials,XLI
O,Realty Income Corporation,Real Estate,IYR
RHT,Red Hat Inc.,Software/Internet,IGV
REG,Regency Centers Corporation,Real Estate,IYR
REGN,Regeneron,Health Care,XLV
RF,Regions Financial Corp.,Financials,XLF
RSG,Republic Services Inc,Industrials,XLI
RMD,ResMed,Health Care,XLV
RHI,Robert Half International,Industrials,XLI
ROK,Rockwell Automation Inc.,Industrials,XLI
COL,Rockwell Collins,Industrials,XLI
ROP,Roper Technologies,Industrials,XLI
ROST,Ross Stores,Retail,XRT
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,XLY
CRM,Salesforce.com,Information Technology,XLK
SBAC,SBA Communications,Real Estate,IYR
SCG,SCANA Corp,Utilities,XLU
SLB,Schlumberger Ltd.,Energy,XLE
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,XLY
STX,Seagate Technology,Information Technology,XLK
SEE,Sealed Air,Materials,XLB
SRE,Sempra Energy,Utilities,XLU
SHW,Sherwin-Williams,Materials,XLB
SIG,Signet Jewelers,Retail,XRT
SPG,Simon Property Group Inc,Real Estate,IYR
SWKS,Skyworks Solutions,Semiconductors,SMH
SLG,SL Green Realty,Real Estate,IYR
SNA,Snap-On Inc.,Consumer Discretionary,XLY
SO,Southern Co.,Utilities,XLU
LUV,Southwest Airlines,Transportation,IYT
SPGI,"S&P Global, Inc.",Financials,XLF
SWK,Stanley Black & Decker,Consumer Discretionary,XLY
SBUX,Starbucks Corp.,Consumer Discretionary,XLY
STT,State Street Corp.,Financials,XLF
SRCL,Stericycle Inc,Industrials,XLI
SYK,Stryker Corp.,Health Care,XLV
STI,SunTrust Banks,Financials,XLF
SYMC,Symantec Corp.,Software/Internet,IGV
SYF,Synchrony Financial,Financials,XLF
SNPS,Synopsys Inc.,Software/Internet,IGV
SYY,Sysco Corp.,Consumer Staples,XLP
TROW,T. Rowe Price Group,Financials,XLF
TPR,"Tapestry, Inc.",Consumer Discretionary,XLY
TGT,Target Corp.,Consumer Discretionary,XLY
TEL,TE Connectivity Ltd.,Information Technology,XLK
FTI,TechnipFMC,Energy,XLE
TXN,Texas Instruments,Semiconductors,SMH
TXT,Textron Inc.,Industrials,XLI
TMO,Thermo Fisher Scientific,Health Care,XLV
TIF,Tiffany & Co.,Consumer Discretionary,XLY
TWX,Time Warner Inc.,Consumer Discretionary,XLY
TJX,TJX Companies Inc.,Retail,XRT
TMK,Torchmark Corp.,Financials,XLF
TSS,Total System Services,Information Technology,XLK
TSCO,Tractor Supply Company,Retail,XRT
TDG,TransDigm Group,Industrials,XLI
TRV,The Travelers Companies Inc.,Financials,XLF
TRIP,TripAdvisor,Consumer Discretionary,XLY
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,XLY
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,XLY
TSN,Tyson Foods,Consumer Staples,XLP
UDR,UDR Inc,Real Estate,IYR
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Retail,XRT
USB,U.S. Bancorp,Financials,XLF
UA,Under Armour Class C,Consumer Discretionary,XLY
UAA,Under Armour Class A,Consumer Discretionary,XLY
UNP,Union Pacific,Transportation,IYT
UAL,United Continental Holdings,Transportation,IYT
UNH,United Health Group Inc.,Health Care,XLV
UPS,United Parcel Service,Transportation,IYT
URI,"United Rentals, Inc.",Industrials,XLI
UTX,United Technologies,Industrials,XLI
UHS,"Universal Health Services, Inc.",Health Care,XLV
UNM,Unum Group,Financials,XLF
VFC,V.F. Corp.,Consumer Discretionary,XLY
VLO,Valero Energy,Energy,XLE
VAR,Varian Medical Systems,Health Care,XLV
VTR,Ventas Inc,Real Estate,IYR
VRSN,Verisign Inc.,Information Technology,XLK
VRSK,Verisk Analytics,Industrials,XLI
VZ,Verizon Communications,,
VRTX,Vertex Pharmaceuticals Inc,Health Care,XLV
VIAB,Viacom Inc.,Consumer Discretionary,XLY
V,Visa Inc.,Information Technology,XLK
VNO,Vornado Realty Trust,Real Estate,IYR
VMC,Vulcan Materials,Materials,XLB
WMT,Wal-Mart Stores,Consumer Staples,XLP
WBA,Walgreens Boots Alliance,Consumer Staples,XLP
DIS,The Walt Disney Company,Consumer Discretionary,XLY
WM,Waste Management Inc.,Industrials,XLI
WAT,Waters Corporation,Health Care,XLV
WEC,Wec Energy Group Inc,Utilities,XLU
WFC,Wells Fargo,Financials,XLF
HCN,Welltower Inc.,Real Estate,IYR
WDC,Western Digital,Information Technology,XLK
WU,Western Union Co,Information Technology,XLK
WRK,WestRock Company,Materials,XLB
WY,Weyerhaeuser Corp.,Real Estate,IYR
WHR,Whirlpool Corp.,Consumer Discretionary,XLY
WMB,Williams Cos.,Energy,XLE
WLTW,Willis Towers Watson,Financials,XLF
WYN,Wyndham Worldwide,Consumer Discretionary,XLY
WYNN,Wynn Resorts Ltd,Consumer Discretionary,XLY
XEL,Xcel Energy Inc,Utilities,XLU
XRX,Xerox Corp.,Information Technology,XLK
XLNX,Xilinx Inc,Semiconductors,SMH
XL,XL Capital,Financials,XLF
XYL,Xylem Inc.,Industrials,XLI
YUM,Yum! Brands Inc,Consumer Discretionary,XLY
ZBH,Zimmer Biomet Holdings,Health Care,XLV
ZION,Zions Bancorp,Financials,XLF
ZTS,Zoetis,Health Care,XLV
